Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000148225.17,396,411,756,758,176,80,92,250
ENSG00000148229.13,7115,7929,9388,12032,556,165,315,1030
ENSG00000148248.14,6883,8087,7104,9386,5263,1897,1635,4219
ENSG00000148288.13,0,0,0,2,0,0,0,0
ENSG00000148290.10,739,838,959,1617,168,61,96,196
ENSG00000148291.10,567,784,726,1123,143,48,82,227
ENSG00000148296.7,2733,3243,3086,4559,100,38,81,170
ENSG00000148297.16,1588,1789,1750,2191,316,114,152,446
ENSG00000148300.12,2102,2876,2391,3057,619,149,233,645
ENSG00000148303.17,36709,43100,49643,76977,6636,2405,2729,7374
ENSG00000148308.18,2108,2237,1653,2229,922,311,484,1165
ENSG00000148331.12,786,855,602,840,315,118,186,426
ENSG00000148334.16,1864,2324,1797,2504,570,210,374,958
ENSG00000148335.15,422,509,391,557,214,68,130,309
ENSG00000148337.22,4447,4859,3968,5457,2698,910,1002,2917
ENSG00000148339.13,974,1208,833,1279,205,56,98,234
ENSG00000148341.18,6925,7196,3335,5212,232,89,145,401
ENSG00000148343.19,679,822,595,1189,118,41,90,209
ENSG00000148344.11,9,8,12,14,1417,563,1151,2708
ENSG00000148346.12,5,13,22,26,28,12,9,32
ENSG00000148356.15,1435,1691,1160,1765,158,61,80,194
ENSG00000148357.18,21,14,9,11,2,1,1,1
ENSG00000148358.21,4380,4965,4904,5766,2865,963,935,2470
ENSG00000148377.6,5,5,1,2,1,1,1,2
ENSG00000148384.14,459,551,400,584,166,69,97,238
ENSG00000148386.10,5,7,0,0,0,0,0,0
ENSG00000148396.19,6783,7784,6231,7877,2391,841,649,1637
ENSG00000148399.13,860,1127,913,1344,142,44,57,199
ENSG00000148400.13,1419,1720,1293,1623,182,67,112,327
ENSG00000148408.15,27,38,9,31,0,0,0,0
ENSG00000148411.8,1561,1876,1466,1541,408,127,196,561
ENSG00000148426.14,192,180,339,443,388,151,59,154
ENSG00000148429.15,1045,1194,987,1046,892,262,230,674
ENSG00000148444.16,648,669,537,604,163,65,62,186
ENSG00000148450.13,588,692,901,1287,230,89,153,361
ENSG00000148459.16,304,376,502,538,134,33,68,204
ENSG00000148468.17,891,1029,836,996,775,291,331,787
ENSG00000148481.14,2148,2761,2986,3090,808,264,256,730
ENSG00000148482.12,0,0,2,4,0,0,0,0
ENSG00000148483.9,6,8,12,7,20,9,6,12
ENSG00000148484.18,1951,2322,2903,3451,1672,503,684,2159
ENSG00000148488.17,36,17,3,8,1,0,0,0
ENSG00000148498.17,333,440,282,344,5277,1764,2150,5908
ENSG00000148513.20,1,0,0,0,4,1,0,8
ENSG00000148516.23,13,14,4,19,1761,606,574,1600
ENSG00000148541.13,45,26,18,22,62,25,25,45
ENSG00000148572.16,704,762,676,732,800,261,272,745
ENSG00000148584.16,4,5,6,8,80,23,37,101
ENSG00000148600.15,8,9,0,7,28,7,12,34
ENSG00000148602.6,0,0,0,0,0,0,0,0
ENSG00000148604.15,0,0,0,0,0,0,0,0
ENSG00000148606.15,2251,2790,2215,2531,1554,534,760,2109
ENSG00000148634.16,2063,2483,2297,2250,3313,1067,1074,2822
ENSG00000148655.16,4,4,2,7,20,8,10,31
ENSG00000148660.22,1834,2003,1320,1689,1873,650,787,1975
ENSG00000148671.15,0,0,0,0,0,0,0,0
ENSG00000148672.10,6314,7663,4921,5384,1041,374,365,988
ENSG00000148677.7,21,37,1,4,88,23,154,418
ENSG00000148680.16,12,11,26,22,75,24,35,103
ENSG00000148688.14,916,1091,1269,1633,766,243,367,1010
ENSG00000148690.12,1159,1120,1625,1954,471,177,183,518
ENSG00000148700.15,8681,9423,9587,9223,3151,1042,1115,3157
ENSG00000148702.15,1,2,1,1,0,0,0,0
ENSG00000148704.13,21,17,13,20,125,50,61,115
ENSG00000148719.16,1673,2226,2329,2634,627,216,205,586
ENSG00000148730.7,8782,9464,8110,10294,11569,4348,3453,9789
ENSG00000148734.8,0,1,0,0,1,0,0,0
ENSG00000148735.16,25,42,67,64,2,2,5,10
ENSG00000148737.18,1409,1436,1166,1363,397,146,112,337
ENSG00000148773.14,10969,12605,10937,11552,6802,2091,2408,7667
ENSG00000148795.7,2,4,0,1,0,0,0,0
ENSG00000148798.11,1,0,1,0,1,0,0,0
ENSG00000148803.13,72,93,86,133,94,41,44,129
ENSG00000148814.18,477,544,364,478,63,27,25,66
ENSG00000148824.19,225,206,101,177,39,10,18,40
ENSG00000148826.9,0,2,1,1,1,1,1,0
ENSG00000148832.16,8,6,2,9,3,2,2,2
ENSG00000148834.13,599,772,678,1048,84,45,41,132
ENSG00000148835.12,1028,1264,1039,1026,827,228,302,787
ENSG00000148840.11,2351,2661,2339,3475,628,239,351,1050
ENSG00000148841.17,227,333,212,241,302,86,123,312
ENSG00000148842.18,591,634,742,914,248,85,76,220
ENSG00000148843.15,2693,3508,4143,5140,140,54,115,298
ENSG00000148848.15,172,119,40,77,3544,1293,641,1620
ENSG00000148908.15,558,612,780,1366,328,132,172,468
ENSG00000148925.11,2163,2632,2362,2589,416,125,95,313
ENSG00000148926.10,51,41,11,9,2233,843,41,70
ENSG00000148935.12,30,73,88,96,16,1,1,13
ENSG00000148942.15,1,0,2,0,1,0,2,1
ENSG00000148943.12,1618,1820,1637,1717,608,208,207,665
ENSG00000148948.8,33,28,19,28,2,0,0,3
ENSG00000148950.11,317,354,390,472,79,31,32,85
ENSG00000148965.10,0,0,0,0,0,0,0,0
ENSG00000148985.20,568,683,854,1203,151,69,107,275
ENSG00000149016.16,440,466,577,844,93,36,45,131
ENSG00000149021.7,0,0,0,0,1,0,0,0
ENSG00000149043.17,1,4,0,0,1,2,0,5
ENSG00000149050.10,221,229,164,195,61,17,35,76
ENSG00000149054.16,397,501,458,459,93,37,21,72
ENSG00000149084.13,1299,1492,1508,1538,705,227,252,679
ENSG00000149089.13,860,889,789,1074,277,120,149,400
ENSG00000149090.13,0,0,0,0,0,0,1,3
ENSG00000149091.15,805,913,744,1144,564,207,260,662
ENSG00000149100.13,7798,8956,9863,11913,3344,1179,1360,3378
ENSG00000149115.14,7092,7657,5990,9748,376,133,142,355
ENSG00000149124.11,1,0,0,0,0,0,0,1
ENSG00000149131.17,0,5,0,2,6,4,4,6
ENSG00000149133.1,0,0,0,0,0,0,0,0
ENSG00000149136.9,14053,16865,15328,18113,4417,1381,1554,4514
ENSG00000149150.9,607,658,1122,1867,53,20,55,180
ENSG00000149177.15,2382,2701,1417,1618,2273,772,1042,2713
ENSG00000149179.14,655,639,557,860,190,74,94,186
ENSG00000149182.15,1004,1170,1223,1664,310,154,275,608
ENSG00000149187.19,5904,6792,6359,8371,1978,654,812,2010
ENSG00000149196.17,780,821,935,1396,0,0,0,1
ENSG00000149201.10,19,38,48,73,0,0,0,0
ENSG00000149212.12,11421,12067,9124,9181,365,125,95,300
ENSG00000149218.5,22030,26622,21751,22551,795,266,545,1315
ENSG00000149231.16,394,478,368,426,957,351,275,746
ENSG00000149243.17,261,300,335,564,29,7,13,50
ENSG00000149256.16,70,56,13,19,1268,454,363,1001
ENSG00000149257.16,1,1,1,3,3919,1398,1602,4092
ENSG00000149260.18,725,750,570,741,495,159,191,432
ENSG00000149262.19,969,972,1111,1221,630,219,292,775
ENSG00000149269.10,403,386,729,818,549,172,257,675
ENSG00000149273.15,32537,37008,39361,64199,20804,7185,9052,22484
ENSG00000149289.11,76,90,244,264,1301,370,315,901
ENSG00000149292.17,839,1038,1166,1422,73,27,47,97
ENSG00000149294.18,76,73,40,63,418,133,181,479
ENSG00000149295.14,2,3,0,1,12,4,7,19
ENSG00000149300.10,3,3,3,0,0,0,0,2
ENSG00000149305.8,29,21,3,2,0,0,0,0
ENSG00000149308.18,922,1110,1000,973,1376,478,471,1254
ENSG00000149311.22,1617,1869,1973,2016,2152,707,744,1991
ENSG00000149313.11,1190,1346,1884,1944,731,293,378,1031
ENSG00000149328.16,1449,1859,1120,1541,431,163,208,455
ENSG00000149346.15,1168,1553,1689,1795,1173,445,540,1454
ENSG00000149357.10,2690,3045,2953,4681,1010,378,681,1827
ENSG00000149380.12,8,23,15,18,68,24,34,120
ENSG00000149403.13,3,12,1,2,27,9,14,24
ENSG00000149418.11,8247,9092,7260,10352,200,59,91,246
ENSG00000149428.21,10708,12667,11010,13723,3914,1344,1720,4627
ENSG00000149435.12,2,3,1,1,0,0,0,0
ENSG00000149443.8,0,0,0,0,0,0,0,0
ENSG00000149451.19,1,1,2,4,46,26,50,108
ENSG00000149452.16,0,3,4,1,0,0,0,0
ENSG00000149474.15,1266,1605,1159,1356,712,239,325,1037
ENSG00000149476.16,1937,2265,2125,3190,200,109,120,324
ENSG00000149480.7,7126,7948,5709,7229,3233,1023,1535,3857
ENSG00000149483.13,746,864,914,1319,636,235,468,1223
ENSG00000149485.19,8922,9818,7304,8344,5916,2265,1942,5510
ENSG00000149488.14,13,33,23,40,5,2,13,26
ENSG00000149489.9,87,89,75,102,41,17,21,42
ENSG00000149499.12,456,535,398,647,212,88,117,301
ENSG00000149503.14,3978,4399,3082,3701,509,176,233,631
ENSG00000149506.12,6,6,22,23,7,2,1,3
ENSG00000149507.7,0,0,0,1,0,0,0,0
ENSG00000149516.15,0,0,0,0,0,0,0,0
ENSG00000149527.18,370,408,260,270,18,5,8,10
ENSG00000149531.15,0,0,0,0,0,0,0,0
ENSG00000149532.16,6776,7894,5402,7126,2278,776,711,2252
ENSG00000149534.9,0,1,1,1,0,0,0,1
ENSG00000149541.10,425,482,561,1329,139,58,106,222
ENSG00000149547.15,9387,11034,9852,12317,2714,1004,949,2719
ENSG00000149548.15,552,722,1004,1014,573,204,253,603
ENSG00000149554.15,1423,1767,1679,1787,925,281,336,1001
ENSG00000149557.14,52,55,35,72,94,46,59,133
ENSG00000149564.12,44,58,29,42,63,29,29,71
ENSG00000149571.12,3,4,1,4,95,32,35,117
ENSG00000149573.9,1967,2133,1567,1846,440,140,112,303
ENSG00000149575.9,0,0,0,0,0,0,3,7
ENSG00000149577.17,1019,1152,1152,1621,157,57,69,174
ENSG00000149582.16,1270,1559,1138,1828,186,60,102,239
ENSG00000149591.17,116,173,146,170,12,5,13,19
ENSG00000149596.7,24,26,3,0,43,20,29,83
ENSG00000149599.16,35,23,9,16,5,0,3,11
ENSG00000149600.12,887,992,996,1514,720,249,345,960
ENSG00000149609.6,29,44,46,67,32,13,27,43
ENSG00000149633.12,0,1,1,1,234,97,49,122
ENSG00000149634.5,8,26,22,12,13,2,7,11
ENSG00000149635.3,0,0,0,0,0,0,0,1
ENSG00000149636.16,1028,1241,1316,1255,1375,465,511,1393
ENSG00000149639.15,6295,7005,7323,9613,2353,780,1135,3268
ENSG00000149646.12,0,3,1,5,6,3,2,4
ENSG00000149651.4,0,0,0,0,1,1,0,0
ENSG00000149654.11,1,1,0,0,12,3,0,11
ENSG00000149656.10,0,0,0,0,0,0,0,0
ENSG00000149657.20,3187,3652,2721,3321,914,326,352,821
ENSG00000149658.18,2836,3279,2907,3391,2200,741,1337,3445
ENSG00000149679.12,1282,1375,651,799,828,280,264,730
ENSG00000149716.13,920,1024,876,1111,212,63,120,318
ENSG00000149735.7,5,14,9,21,0,0,0,2
ENSG00000149742.10,0,1,0,2,0,0,0,0
ENSG00000149743.14,461,516,311,439,159,64,59,161
ENSG00000149761.9,299,301,222,333,138,57,84,170
ENSG00000149781.14,69,92,50,81,53,11,21,40
ENSG00000149782.13,1005,1160,760,942,810,282,309,732
ENSG00000149792.9,4290,5443,5425,6420,1733,631,850,2548
ENSG00000149798.5,0,0,0,1,3,1,2,3
ENSG00000149806.11,2992,3585,4097,6694,1021,369,585,1653
ENSG00000149809.17,745,891,1789,3842,157,67,159,343
ENSG00000149823.10,994,1105,803,1372,350,119,176,464
ENSG00000149922.12,176,173,59,66,12,10,5,25
ENSG00000149923.14,1536,1764,1343,2103,732,256,433,916
ENSG00000149925.22,9918,10189,1795,2564,928,399,288,532
ENSG00000149926.14,31,36,16,24,2,3,5,15
ENSG00000149927.18,151,138,165,238,58,22,40,110
ENSG00000149929.16,4260,4634,3442,4267,111,25,61,123
ENSG00000149930.18,3942,4405,3314,4439,1619,580,689,1897
ENSG00000149932.17,1110,1358,1179,1937,81,35,40,86
ENSG00000149948.14,0,0,0,0,1660,580,438,1231
ENSG00000149968.12,0,1,0,0,1,0,1,2
ENSG00000149970.16,515,610,403,382,179,57,77,187
ENSG00000149972.12,45,41,107,138,0,0,1,2
ENSG00000150045.12,0,0,7,4,0,0,0,0
ENSG00000150048.10,42,50,28,25,0,0,0,0
ENSG00000150051.14,0,0,0,1,37,5,20,57
ENSG00000150054.19,585,631,657,741,508,152,182,472
ENSG00000150093.20,31600,36251,21297,22981,77596,25002,19960,54423
ENSG00000150175.15,0,0,0,0,0,0,0,0
ENSG00000150201.15,0,0,0,0,0,0,0,0
ENSG00000150244.12,18,20,4,2,0,0,0,0
ENSG00000150261.5,0,0,0,0,0,0,0,0
ENSG00000150269.1,0,0,0,0,0,0,0,0
ENSG00000150275.20,2,2,8,6,15,3,1,2
ENSG00000150276.8,0,0,0,0,0,0,0,0
ENSG00000150281.7,4,0,4,8,38,22,19,59
ENSG00000150316.12,1586,1692,1958,2432,488,137,200,509
ENSG00000150337.14,7,15,15,13,0,1,0,0
ENSG00000150347.17,3857,4821,2638,3024,1993,639,729,2080
ENSG00000150361.12,980,1214,2483,2578,0,0,0,2
ENSG00000150394.14,21,21,22,8,95,32,31,88
ENSG00000150401.15,762,876,587,613,217,67,41,159
ENSG00000150403.18,2757,3097,4121,5272,1643,556,484,1306
ENSG00000150433.10,847,1080,1583,1614,269,113,142,369
ENSG00000150455.15,467,585,703,769,180,91,104,269
ENSG00000150456.11,273,336,314,515,100,38,48,117
ENSG00000150457.9,349,409,294,374,356,125,140,400
ENSG00000150459.13,3870,4599,5516,7377,1227,407,550,1289
ENSG00000150471.17,0,3,5,7,27,18,17,40
ENSG00000150477.15,361,354,389,452,239,70,71,185
ENSG00000150510.17,138,191,86,114,105,29,32,97
ENSG00000150527.18,1500,1772,2010,2343,864,281,398,927
ENSG00000150540.14,5,5,4,6,94,27,41,110
ENSG00000150551.11,0,0,1,0,898,273,264,637
ENSG00000150556.17,33,18,17,28,2,0,1,9
ENSG00000150593.18,11832,12997,10703,14227,478,150,150,435
ENSG00000150594.7,4737,5098,157,271,1,2,1,2
ENSG00000150625.17,0,0,3,1,15,11,6,22
ENSG00000150627.16,25,39,71,65,48,16,31,90
ENSG00000150628.7,33,38,35,30,25,7,1,6
ENSG00000150630.4,0,1,0,0,770,244,138,465
ENSG00000150636.17,38,40,57,70,220,62,72,186
ENSG00000150637.9,1,0,6,3,12,5,4,6
ENSG00000150656.15,23,34,17,21,0,0,1,1
ENSG00000150667.8,364,374,235,234,16,2,4,13
ENSG00000150672.19,1212,1423,491,514,91,36,42,115
ENSG00000150676.13,629,574,223,311,1,0,0,3
ENSG00000150681.10,0,0,0,0,0,0,0,0
ENSG00000150687.12,210,275,440,500,14,2,1,13
ENSG00000150712.11,2627,3103,2804,3338,1636,605,624,1772
ENSG00000150722.11,4,7,12,13,41,10,10,24
ENSG00000150732.8,0,0,0,0,0,0,0,0
ENSG00000150750.9,2,6,6,6,0,0,0,0
ENSG00000150753.12,12834,15597,16946,19602,8804,2811,3972,10361
ENSG00000150756.14,690,848,692,943,221,67,94,266
ENSG00000150760.13,1909,2057,1937,2108,748,193,247,601
ENSG00000150764.14,341,341,310,347,249,86,132,429
ENSG00000150768.18,3697,4185,4034,4385,1333,398,575,1514
ENSG00000150773.12,147,172,182,176,31,11,14,33
ENSG00000150776.18,3028,3428,3899,4032,1136,393,473,1235
ENSG00000150779.12,1156,1398,1539,2505,316,127,174,405
ENSG00000150782.13,1,4,9,12,601,148,207,614
ENSG00000150783.10,1,0,0,0,0,0,0,0
ENSG00000150787.8,993,1140,1324,1615,109,39,54,121
ENSG00000150867.14,1077,1255,1221,1378,147,34,60,203
ENSG00000150873.12,6,2,6,5,3,0,0,4
ENSG00000150893.11,0,0,2,2,54,16,37,103
ENSG00000150907.10,495,623,543,616,107,45,44,162
ENSG00000150938.10,270,260,290,383,2415,773,676,1970
ENSG00000150961.15,2698,2940,2786,3020,1726,605,326,1024
ENSG00000150967.19,205,266,177,288,59,25,31,82
ENSG00000150977.12,579,625,337,544,20,3,18,32
ENSG00000150990.9,929,1191,844,1051,348,91,162,384
ENSG00000150991.16,6985,8089,6071,9898,78,32,32,101
ENSG00000150995.21,1222,1456,1048,1057,1373,430,106,289
ENSG00000151005.5,0,0,1,0,0,0,1,0
ENSG00000151006.8,258,287,128,136,108,50,24,72
ENSG00000151012.13,1812,1775,3866,4920,337,69,267,696
ENSG00000151014.6,174,221,241,265,244,99,79,170
ENSG00000151023.17,36,45,56,55,8,6,6,9
ENSG00000151025.11,9514,11999,7803,7410,4,2,4,11
ENSG00000151033.10,0,0,0,0,0,0,0,0
ENSG00000151062.15,11,6,4,4,24,4,6,28
ENSG00000151065.14,1428,1566,1612,1782,240,99,137,398
ENSG00000151067.23,11,14,2,9,13,8,5,12
ENSG00000151079.8,2,0,1,2,0,0,1,0
ENSG00000151090.20,2990,3500,3469,3764,450,120,104,388
ENSG00000151092.18,1707,1920,1888,2031,2189,722,595,1500
ENSG00000151093.8,1000,1111,941,1116,449,154,73,232
ENSG00000151116.17,3097,3382,2778,2977,1425,455,369,998
ENSG00000151117.9,280,277,139,197,1,1,1,8
ENSG00000151131.11,616,670,1084,1311,250,86,175,513
ENSG00000151135.10,2574,2971,2514,2844,1707,609,427,1102
ENSG00000151136.15,93,95,46,52,885,338,495,1509
ENSG00000151148.14,1894,2200,2561,3202,1008,414,438,1075
ENSG00000151150.22,7666,8467,12080,13568,1056,318,546,1553
ENSG00000151151.6,465,501,460,471,2276,776,268,767
ENSG00000151164.19,57,67,62,56,22,10,12,28
ENSG00000151176.8,6864,6953,6218,8806,1912,627,598,2068
ENSG00000151208.17,6389,7351,4883,5626,811,306,458,1103
ENSG00000151224.13,47,48,83,152,0,0,0,0
ENSG00000151229.13,87,115,83,133,589,177,163,401
ENSG00000151233.11,1410,1573,1748,1736,1074,361,358,985
ENSG00000151239.14,5573,5974,4466,4920,3188,976,710,1962
ENSG00000151240.18,797,1024,619,709,110,39,31,91
ENSG00000151247.13,4830,6297,5842,7283,867,271,294,834
ENSG00000151276.24,3533,3961,2156,2493,130,24,45,134
ENSG00000151287.17,366,452,358,466,18,4,10,23
ENSG00000151292.19,2028,2519,2120,2407,1525,470,499,1415
ENSG00000151303.13,25,9,3,5,2,1,1,3
ENSG00000151304.6,962,1085,1316,1208,278,103,140,366
ENSG00000151320.11,227,262,227,262,83,38,49,143
ENSG00000151322.20,2,2,0,0,15,6,13,31
ENSG00000151327.14,5856,6568,4040,4454,529,191,244,638
ENSG00000151332.20,1152,1322,1156,1147,464,133,173,438
ENSG00000151338.21,2512,2879,3020,2914,587,210,225,690
ENSG00000151348.16,1139,1350,1197,1828,2310,754,868,2278
ENSG00000151353.16,969,1124,964,1243,429,176,143,393
ENSG00000151360.10,3,5,0,6,0,0,0,0
ENSG00000151364.17,4,6,3,0,36,14,11,39
ENSG00000151365.2,63,83,59,35,1,0,1,4
ENSG00000151366.13,880,907,966,1675,1167,389,329,1040
ENSG00000151376.19,0,0,0,0,0,0,0,0
ENSG00000151379.4,0,0,0,1,0,0,0,0
ENSG00000151388.11,18,24,18,33,14,5,10,24
ENSG00000151413.17,651,749,917,1178,143,56,66,189
ENSG00000151414.15,2811,2997,2779,3016,628,213,142,366
ENSG00000151418.12,0,0,0,0,0,0,0,0
ENSG00000151422.14,1122,1249,858,830,1913,580,449,1249
ENSG00000151445.16,1918,1894,2316,3131,439,181,255,648
ENSG00000151458.12,1176,1278,1047,1036,1124,297,350,1064
ENSG00000151461.20,3850,4905,5016,5323,952,233,331,915
ENSG00000151465.14,5205,6157,5028,6469,2266,653,817,2339
ENSG00000151466.12,473,550,727,778,456,146,141,491
ENSG00000151468.11,2,4,4,7,1,0,1,0
ENSG00000151470.13,848,908,1060,1201,205,78,66,198
ENSG00000151474.23,92,110,103,131,1485,455,401,1140
ENSG00000151475.6,0,0,0,0,0,0,0,0
ENSG00000151490.15,2,4,5,0,3,2,0,1
ENSG00000151491.14,339,444,441,526,858,295,363,1092
ENSG00000151498.12,1802,2042,1178,1588,295,112,160,361
ENSG00000151500.15,2078,2530,1819,2342,398,137,247,626
ENSG00000151502.11,3277,3702,2648,3544,273,96,120,327
ENSG00000151503.14,7427,9181,6092,6600,2188,676,792,2243
ENSG00000151532.15,969,1088,867,997,550,144,200,488
ENSG00000151552.13,1086,1221,1503,2020,330,111,169,418
ENSG00000151553.16,2043,2305,2369,2467,687,257,302,745
ENSG00000151572.18,2,4,2,5,3,3,2,3
ENSG00000151575.15,209,188,272,280,71,31,39,111
ENSG00000151576.10,1098,1436,1778,1818,1155,420,700,1823
ENSG00000151577.14,1,0,0,0,0,0,0,0
ENSG00000151611.17,1005,1166,1027,1173,110,47,89,205
ENSG00000151612.18,1920,2310,1414,1682,1583,547,423,1364
ENSG00000151615.3,0,0,0,0,0,0,0,0
ENSG00000151617.17,0,2,6,6,102,34,46,113
ENSG00000151623.15,404,561,447,496,75,13,32,83
ENSG00000151631.8,0,0,0,0,0,0,0,0
ENSG00000151632.18,40,40,13,29,3,0,2,3
ENSG00000151640.13,1003,1152,261,422,143,58,8,37
ENSG00000151650.8,0,0,0,0,1,0,0,0
ENSG00000151651.16,155,228,129,182,2158,863,502,1123
ENSG00000151655.19,1,3,1,6,2,1,3,6
ENSG00000151657.12,743,809,931,938,126,36,45,151
ENSG00000151665.13,205,299,313,333,110,46,35,124
ENSG00000151687.15,75,71,115,117,16,7,10,20
ENSG00000151689.13,20,35,3,5,457,127,193,503
ENSG00000151690.15,1844,1957,1842,2253,475,171,238,634
ENSG00000151692.15,625,653,457,592,268,98,108,298
ENSG00000151693.11,825,883,934,1097,1221,358,502,1387
ENSG00000151694.15,1015,1142,886,889,2515,835,695,1804
ENSG00000151702.18,3,2,9,3,31,7,21,58
ENSG00000151704.16,0,0,1,1,0,0,1,1
ENSG00000151715.8,203,163,177,195,119,27,12,22
ENSG00000151718.16,277,259,246,250,692,203,208,533
ENSG00000151725.12,1805,2054,3377,3109,1964,697,758,2010
ENSG00000151726.16,8576,9631,10165,11055,568,203,264,690
ENSG00000151729.11,3091,3393,2226,3062,107,44,39,141
ENSG00000151743.11,242,271,181,275,60,25,24,62
ENSG00000151746.15,1382,1629,1996,2197,270,100,91,264
ENSG00000151748.15,1305,1590,1153,1374,1908,702,589,1456
ENSG00000151773.13,62,65,163,198,329,145,121,368
ENSG00000151778.11,0,2,0,0,0,0,0,0
ENSG00000151779.14,1290,1529,1148,1241,1335,442,436,1166
ENSG00000151789.13,1,0,0,0,266,61,83,292
ENSG00000151790.9,2,0,1,0,3,4,0,4
ENSG00000151806.14,3326,4024,4990,5918,518,174,232,644
ENSG00000151812.15,4,5,1,5,2,0,1,2
ENSG00000151834.16,39,29,1,7,88,40,5,12
ENSG00000151835.17,4130,5341,2592,2477,8430,2498,3097,8383
ENSG00000151838.12,1,6,1,3,2,2,2,1
ENSG00000151846.9,0,0,0,0,0,0,0,0
ENSG00000151849.16,1182,1337,1098,1008,1727,447,561,1527
ENSG00000151876.13,362,389,437,485,88,21,41,157
ENSG00000151881.15,498,489,693,736,291,108,115,355
ENSG00000151882.11,5,2,6,4,523,241,82,241
ENSG00000151883.20,372,515,544,640,420,148,163,465
ENSG00000151892.16,0,0,0,5,81,32,41,132
ENSG00000151893.15,1669,1955,1471,1779,1627,522,558,1587
ENSG00000151914.22,923,975,898,968,13474,3866,2483,7105
ENSG00000151917.18,9,12,44,55,123,45,28,113
ENSG00000151923.18,4994,5735,4482,5098,1475,479,471,1291
ENSG00000151929.10,3045,3488,3297,4002,327,94,133,318
ENSG00000151948.12,0,1,1,7,0,0,0,2
ENSG00000151952.16,0,0,0,0,0,0,0,0
ENSG00000151962.8,0,3,0,0,0,0,0,0
ENSG00000151963.4,14,13,12,20,1,2,2,8
ENSG00000151967.19,4,2,0,1,196,60,23,86
ENSG00000152034.11,3,7,10,2,0,0,0,0
ENSG00000152049.7,4,0,0,6,1,1,0,1
ENSG00000152056.18,469,518,444,527,138,58,59,178
ENSG00000152061.24,778,944,1054,1088,140,57,57,159
ENSG00000152076.19,77,97,46,134,89,27,49,88
ENSG00000152078.10,819,853,549,539,866,301,287,777
ENSG00000152082.15,580,662,597,1194,378,164,213,441
ENSG00000152086.9,237,297,136,144,1,0,1,4
ENSG00000152092.17,10,18,15,42,0,0,1,0
ENSG00000152093.8,0,0,0,0,0,0,0,0
ENSG00000152102.18,10204,11446,8530,10086,2432,936,969,2558
ENSG00000152104.12,447,496,459,528,809,269,280,684
ENSG00000152117.19,0,0,0,0,0,0,0,0
ENSG00000152127.9,2900,3404,2632,3041,5224,1719,1310,3569
ENSG00000152128.13,24,36,19,29,102,41,55,128
ENSG00000152133.17,1302,1514,1516,1471,278,69,114,333
ENSG00000152137.8,955,1151,549,524,506,158,226,622
ENSG00000152147.11,1270,1588,1949,2119,505,174,334,987
ENSG00000152154.12,14,9,17,40,0,0,1,1
ENSG00000152192.8,154,219,130,137,1,1,0,0
ENSG00000152193.8,1419,1534,1463,1601,723,227,225,669
ENSG00000152207.8,1,0,0,0,0,0,0,2
ENSG00000152208.13,0,1,0,0,0,0,0,0
ENSG00000152213.4,0,1,0,0,0,0,0,0
ENSG00000152214.14,3,6,11,11,0,0,0,0
ENSG00000152217.20,2866,3289,1435,1617,153,45,33,74
ENSG00000152219.6,706,798,957,1070,373,118,195,467
ENSG00000152223.16,1613,1871,1536,1788,1027,382,481,1205
ENSG00000152229.18,163,171,180,184,73,21,46,112
ENSG00000152234.16,14895,17548,17677,25079,4275,1317,1604,4172
ENSG00000152240.13,940,1198,1146,1226,334,103,130,394
ENSG00000152242.11,1654,1738,1588,1845,321,111,103,273
ENSG00000152253.9,823,996,1005,1097,273,98,139,344
ENSG00000152254.11,0,0,0,0,0,0,1,0
ENSG00000152256.14,7129,7848,1886,1979,2561,959,266,629
ENSG00000152266.7,0,0,4,0,0,0,0,0
ENSG00000152270.10,885,1022,1116,1048,239,91,84,249
ENSG00000152284.5,36,10,21,22,163,64,31,140
ENSG00000152291.15,4755,5254,4155,5262,4782,1632,1646,4302
ENSG00000152292.18,4,8,4,5,0,0,3,3
ENSG00000152315.5,3,3,5,19,3,3,6,3
ENSG00000152332.16,15410,17538,15585,17155,5966,1933,1942,5280
ENSG00000152348.16,328,353,392,469,356,141,111,332
ENSG00000152359.15,1010,1172,1256,1340,468,190,216,581
ENSG00000152377.15,519,642,256,274,7288,2723,2070,6032
ENSG00000152380.10,216,275,181,195,12,2,9,25
ENSG00000152382.6,599,692,567,636,329,116,173,417
ENSG00000152402.11,107,119,58,57,3,0,5,11
ENSG00000152404.16,1010,1204,1402,1396,146,55,64,164
ENSG00000152409.10,2227,2385,2224,2415,192,66,72,214
ENSG00000152413.15,2166,2412,2280,2261,720,232,223,614
ENSG00000152422.16,371,434,541,568,229,121,107,249
ENSG00000152430.19,5,1,0,0,0,0,0,1
ENSG00000152433.15,262,273,227,251,63,21,16,60
ENSG00000152439.13,356,424,375,429,134,44,57,135
ENSG00000152443.13,1726,1947,1413,1636,726,279,247,642
ENSG00000152454.4,336,385,403,485,69,30,27,59
ENSG00000152455.16,739,913,829,882,226,82,108,235
ENSG00000152457.19,765,1025,987,995,382,127,183,510
ENSG00000152463.15,15,14,13,11,11,4,7,11
ENSG00000152464.15,382,513,432,492,168,69,70,262
